TransactionID,Time,Amount,MerchantID,TransactionType,Class
T83,97193,828,M5,Mobile,Normal
T84,162176,716,M27,Online,Normal
T85,68139,145,M87,Online,Normal
T86,114933,802,M87,Online,Normal
T87,42599,88,M23,Mobile,Normal
T88,149099,865,M67,Online,Normal
T89,33196,939,M74,Mobile,Normal
T90,77401,362,M95,Mobile,Normal
T91,51714,983,M70,Mobile,Normal
T92,164553,767,M21,Mobile,Normal
T93,170106,571,M35,Online,Normal
T94,124291,597,M57,Mobile,Normal
T95,1683,108,M95,In-Store,Normal
T96,149119,319,M48,Online,Normal
T97,265,922,M74,Online,Normal
T98,58660,68,M26,Mobile,Normal
T99,93482,980,M19,Online,Normal
T100,57512,298,M40,Online,Normal
T101,129499,188,M92,Online,Normal
T102,170117,685,M55,Online,Normal
T103,168501,936,M96,Mobile,Fraudulent
T104,7437,59,M44,Online,Normal
T105,53943,162,M18,Mobile,Normal
T106,54694,272,M65,Online,Normal
T107,122741,747,M16,Online,Normal
T108,41657,764,M48,Mobile,Normal
T109,23684,436,M35,Mobile,Normal
T110,95147,578,M76,Online,Normal
T111,130257,71,M79,Mobile,Normal
T112,127386,145,M51,Online,Normal
T113,160186,735,M99,Mobile,Normal
T114,167607,353,M77,Online,Normal
T115,35393,563,M42,Online,Normal
T116,111416,414,M97,Mobile,Normal
T117,166872,657,M9,Mobile,Fraudulent
T118,46027,179,M26,In-Store,Normal
T119,100141,34,M9,Online,Normal
T120,168089,58,M93,Online,Normal
T121,5327,940,M11,In-Store,Normal
T122,6549,290,M20,In-Store,Normal
T123,17491,791,M92,Mobile,Normal
T124,135357,469,M62,Mobile,Normal
T125,2787,962,M71,In-Store,Normal
T126,78635,235,M75,Mobile,Normal
T127,76564,822,M23,In-Store,Normal
T128,90968,5,M94,Online,Normal
T129,43428,665,M86,In-Store,Normal
T130,34490,514,M15,Mobile,Normal
T131,41230,254,M79,Mobile,Normal
T132,15442,476,M15,Mobile,Normal
T133,73696,437,M11,Mobile,Normal
T134,158164,803,M58,Mobile,Normal
T135,83989,214,M79,Mobile,Normal
T136,54818,136,M66,Mobile,Normal
T137,71874,35,M85,In-Store,Normal
T138,74509,784,M69,Mobile,Normal
T139,35205,284,M34,In-Store,Normal
T140,142857,888,M36,Online,Normal
T141,113270,4413,M95,In-Store,Normal
T142,94187,289,M65,In-Store,Normal
T143,159415,198,M15,Online,Normal
T144,108426,528,M44,Mobile,Normal
T145,28889,30,M94,Online,Normal
T146,55640,571,M93,Online,Normal
T147,1102,643,M3,In-Store,Normal
T148,41830,813,M100,In-Store,Normal
T149,165888,595,M24,Online,Normal
T150,142241,392,M45,Mobile,Normal
T151,38658,142,M27,Online,Normal
T152,127962,4638,M37,In-Store,Normal
T153,136921,970,M1,Mobile,Normal
T154,37065,318,M65,In-Store,Normal
T155,85164,490,M45,Online,Normal
T156,136001,678,M82,Online,Normal
T157,7962,639,M26,In-Store,Normal
T158,309,293,M28,Mobile,Normal
T159,86112,499,M50,Mobile,Normal
T160,104942,536,M28,In-Store,Normal
T161,40432,355,M80,In-Store,Normal
T162,73914,316,M19,In-Store,Normal
T163,56820,984,M93,In-Store,Normal
T164,1436,245,M46,In-Store,Normal
T165,157822,203,M41,Online,Normal
T166,74298,923,M31,In-Store,Normal
T167,107478,946,M82,In-Store,Normal
T168,152796,291,M10,In-Store,Normal
T169,48373,309,M71,In-Store,Normal
T170,149571,610,M30,Online,Normal
T171,106886,701,M78,Mobile,Normal
T172,160842,843,M3,Mobile,Normal
T173,121424,898,M77,In-Store,Normal
T174,57344,776,M25,Mobile,Normal
T175,96897,732,M64,Mobile,Normal
T176,128261,647,M22,Mobile,Normal
T177,37413,707,M72,Online,Normal
T178,139694,642,M66,Mobile,Normal
T179,13045,185,M7,In-Store,Normal
T180,33295,289,M51,Online,Normal
T181,166391,883,M91,In-Store,Normal
T182,73545,466,M52,Mobile,Normal
T183,103923,605,M38,In-Store,Normal
T184,135326,747,M34,Mobile,Normal
T185,74434,964,M40,Mobile,Normal
T186,171933,232,M85,Mobile,Fraudulent
T187,128911,227,M100,Mobile,Normal
T188,38944,881,M27,In-Store,Normal
T189,85071,349,M39,Mobile,Normal
T190,153803,964,M6,In-Store,Normal
T191,153763,55,M5,Online,Normal
T192,19311,554,M46,In-Store,Normal
T193,62417,894,M27,In-Store,Normal
T194,104331,510,M55,Online,Normal
T195,167210,814,M5,In-Store,Normal
T196,147591,714,M64,In-Store,Normal
T197,68554,504,M63,Mobile,Normal
T198,60449,552,M25,Online,Normal
T199,125569,522,M96,Online,Normal
T200,62044,94,M68,Online,Normal
T201,78386,74,M86,In-Store,Normal
T202,108320,345,M96,In-Store,Normal
T203,20956,401,M74,Mobile,Normal
T204,160308,919,M41,In-Store,Normal
T205,99981,271,M100,Mobile,Normal
T206,22860,544,M35,Online,Normal
T207,45669,558,M79,Mobile,Normal
T208,43964,584,M5,In-Store,Normal
T209,73541,262,M41,In-Store,Normal
T210,143059,568,M17,Mobile,Normal
T211,75399,599,M3,In-Store,Normal
T212,2860,636,M2,Online,Normal
T213,145947,145,M74,In-Store,Normal
T214,13441,490,M91,In-Store,Normal
T215,66345,428,M2,Online,Normal
T216,143275,16,M23,In-Store,Normal
T217,69699,304,M5,Online,Normal
T218,7525,940,M17,In-Store,Normal
T219,94890,819,M62,In-Store,Normal
T220,50075,915,M87,In-Store,Normal
T221,115373,378,M37,Mobile,Normal
T222,105440,280,M100,Online,Normal
T223,37922,575,M39,Online,Normal
T224,50520,29,M35,In-Store,Normal
T225,98632,224,M41,In-Store,Normal
T226,66064,596,M93,In-Store,Normal
T227,168682,816,M81,In-Store,Normal
T228,57190,999,M22,In-Store,Normal
T229,132490,746,M77,In-Store,Normal
T230,76959,788,M51,Mobile,Normal
T231,23105,336,M82,Mobile,Normal
T232,88231,446,M3,Online,Normal
T233,122356,791,M11,Online,Normal
T234,33881,745,M39,In-Store,Normal
T235,55448,247,M50,In-Store,Normal
T236,146144,335,M6,In-Store,Normal
T237,84571,422,M10,Mobile,Normal
T238,71094,521,M29,Mobile,Normal
T239,168195,59,M42,Mobile,Normal
T240,124801,262,M97,Mobile,Normal
T241,166143,106,M7,Online,Normal
T242,47562,877,M49,Online,Normal
T243,93464,380,M92,Mobile,Normal
T244,170833,199,M1,In-Store,Normal
T245,50785,772,M69,Online,Normal
T246,40135,414,M77,Online,Normal
T247,136503,214,M79,Mobile,Normal
T248,145197,951,M13,In-Store,Normal
T249,2875,1837,M24,Online,Normal
T250,64657,107,M83,In-Store,Normal
T251,5860,548,M89,Online,Normal
T252,34057,2414,M39,In-Store,Normal
T253,158523,9,M21,Online,Normal
T254,39466,912,M8,Online,Normal
T255,67416,261,M49,Mobile,Normal
T256,147353,839,M53,In-Store,Normal
T257,65914,534,M77,Mobile,Normal
T258,87172,758,M28,Mobile,Normal
T259,154786,860,M1,Mobile,Normal
T260,29435,971,M72,Online,Normal
T261,165887,111,M87,Online,Normal
T262,125695,857,M38,In-Store,Normal
T263,33783,399,M19,In-Store,Normal
T264,32592,944,M84,Online,Normal
T265,37807,895,M99,Mobile,Normal
T266,70726,430,M7,In-Store,Normal
T267,113921,196,M21,Mobile,Normal
T268,19385,817,M64,Online,Normal
T269,44780,421,M12,In-Store,Normal
T270,40169,674,M36,Online,Normal
T271,113652,611,M89,Mobile,Normal
T272,118894,49,M65,Mobile,Normal
T273,74220,573,M64,In-Store,Normal
T274,62503,835,M7,Mobile,Normal
T275,71615,553,M6,In-Store,Normal
T276,47656,439,M78,Online,Normal
T277,27973,868,M75,Online,Normal
T278,61683,409,M26,Online,Normal
T279,30070,420,M44,Mobile,Normal
T280,43880,546,M98,Online,Normal
T281,117855,696,M88,In-Store,Normal
T282,85996,829,M33,Mobile,Normal
T283,84623,895,M1,Mobile,Normal
T284,106765,607,M36,Mobile,Normal
T285,98308,358,M19,Mobile,Normal
T286,91027,787,M58,Online,Normal
T287,129634,753,M81,In-Store,Normal
T288,10139,961,M40,Mobile,Normal
T289,575,348,M39,Mobile,Normal
T290,97040,64,M72,Online,Normal
T291,35092,841,M37,Mobile,Normal
T292,49189,19,M69,Online,Normal
T293,44135,147,M44,In-Store,Normal
T294,138495,804,M28,Mobile,Normal
T295,89561,717,M70,Mobile,Normal
T296,17380,823,M15,Mobile,Normal
T297,156511,361,M68,Online,Fraudulent
T298,93894,821,M55,Online,Normal
T299,113828,784,M92,In-Store,Normal
T300,148647,342,M24,Online,Normal
T301,25039,882,M83,Mobile,Normal
T302,5717,462,M11,Online,Normal
T303,116284,257,M23,Mobile,Normal
T304,111410,153,M65,Mobile,Normal
T305,151371,582,M81,Mobile,Normal
T306,116593,349,M90,Mobile,Normal
T307,145902,298,M2,Mobile,Normal
T308,19650,648,M52,In-Store,Normal
T309,97558,574,M68,Online,Normal
T310,89784,151,M80,Online,Normal
T311,5255,969,M26,Online,Normal
T312,30030,592,M4,Online,Normal
T313,52407,140,M70,Online,Normal
T314,28353,490,M60,Online,Normal
T315,1705,676,M98,Mobile,Normal
T316,111307,991,M44,In-Store,Normal
T317,114499,32,M88,Online,Normal
T318,62461,352,M81,Mobile,Normal
T319,15515,817,M19,In-Store,Normal
T320,167171,607,M9,Online,Normal
T321,48322,785,M49,In-Store,Normal
T322,113175,3890,M79,Online,Normal
T323,26754,757,M5,Online,Normal
T324,46866,829,M25,Mobile,Normal
T325,38122,558,M18,Online,Normal
T326,55569,644,M76,Online,Normal
T327,19448,646,M52,Online,Normal
T328,85040,4704,M47,Online,Normal
T329,141597,123,M56,In-Store,Normal
T330,152560,328,M27,Online,Normal
T331,3220,220,M66,Mobile,Normal
T332,116026,46,M93,In-Store,Normal
T333,28540,886,M42,Mobile,Normal
T334,114818,937,M85,In-Store,Normal
T335,89494,172,M85,Mobile,Normal
T336,112438,410,M34,Online,Normal
T337,118548,711,M35,Online,Normal
T338,127357,840,M38,Mobile,Normal
T339,136584,991,M6,In-Store,Normal
T340,139709,44,M88,Mobile,Normal
T341,53245,652,M4,Online,Normal
T342,8781,106,M52,Online,Normal
T343,41735,635,M73,In-Store,Normal
T344,22421,347,M1,Online,Normal
T345,31826,280,M34,In-Store,Normal
T346,142825,644,M28,Online,Normal
T347,115807,928,M73,Online,Normal
T348,65138,997,M16,Mobile,Normal
T349,107200,127,M26,Online,Normal
T350,125566,954,M41,In-Store,Normal
T351,88485,895,M100,Mobile,Normal
T352,172225,403,M91,In-Store,Normal
T353,2016,855,M21,Mobile,Normal
T354,163746,510,M79,In-Store,Normal
T355,26236,92,M25,Online,Normal
T356,76464,739,M35,In-Store,Normal
T357,105358,880,M34,Online,Normal
T358,27542,729,M13,In-Store,Normal
T359,170963,691,M66,In-Store,Normal
T360,45797,588,M96,In-Store,Normal
T361,122126,814,M33,In-Store,Normal
T362,82225,95,M29,Online,Normal
T363,94149,499,M37,Online,Normal
T364,93463,868,M78,In-Store,Normal
T365,107698,932,M39,Online,Normal
T366,82042,309,M32,Mobile,Normal
T367,64841,948,M6,Online,Normal
T368,81158,827,M82,Mobile,Normal
T369,140652,411,M78,Mobile,Normal
T370,47745,684,M27,In-Store,Normal
T371,119086,412,M3,In-Store,Normal
T372,146703,74,M82,In-Store,Normal
T373,144728,350,M2,In-Store,Normal
T374,98662,674,M69,In-Store,Normal
T375,124027,877,M17,In-Store,Normal
T376,65468,417,M72,In-Store,Normal
T377,35681,166,M75,In-Store,Normal
T378,161502,66,M71,Mobile,Normal
T379,109975,584,M80,Mobile,Normal
T380,94115,109,M39,Mobile,Normal
T381,72338,668,M53,Mobile,Normal
T382,157845,888,M93,Online,Fraudulent
T383,60876,228,M61,Mobile,Normal
T384,52057,859,M54,In-Store,Normal
T385,2980,834,M77,Mobile,Normal
T386,59942,563,M24,Online,Normal
T387,112672,974,M29,In-Store,Normal
T388,59367,347,M98,In-Store,Normal
T389,156420,856,M23,Mobile,Normal
T390,105892,325,M41,In-Store,Normal
T391,153458,70,M9,Mobile,Normal
T392,149712,685,M79,In-Store,Normal
T393,130311,461,M53,Mobile,Normal
T394,167522,123,M30,In-Store,Normal
T395,49257,856,M31,In-Store,Normal
T396,4541,528,M41,Mobile,Normal
T397,65953,179,M16,Online,Normal
T398,44802,203,M6,Mobile,Normal
T399,128891,312,M43,Mobile,Normal
T400,64342,520,M65,Mobile,Normal
T401,11686,803,M99,Mobile,Normal
T402,42626,428,M56,In-Store,Normal
T403,84711,977,M53,Online,Normal
T404,139242,958,M9,Online,Normal
T405,155117,278,M32,Mobile,Normal
T406,34629,509,M38,Online,Normal
T407,100557,401,M79,Online,Normal
T408,156677,803,M16,In-Store,Normal
T409,21536,2975,M91,Online,Normal
T410,150837,98,M91,Mobile,Normal
T411,142143,529,M94,Mobile,Normal
T412,15693,663,M29,Mobile,Normal
T413,88445,4600,M34,Mobile,Normal
T414,50546,655,M25,In-Store,Normal
T415,156620,10,M17,Mobile,Fraudulent
T416,99467,478,M26,Online,Normal
T417,26157,489,M84,Online,Normal
T418,41794,177,M54,Mobile,Normal
T419,143820,136,M15,In-Store,Normal
T420,46975,108,M71,Online,Normal
T421,7275,239,M31,In-Store,Normal
T422,105772,83,M6,Online,Normal
T423,16163,559,M68,In-Store,Normal
T424,51187,838,M10,Online,Normal
T425,145357,658,M79,Mobile,Normal
T426,26655,9,M11,Mobile,Normal
T427,53830,931,M94,In-Store,Normal
T428,160301,406,M94,In-Store,Normal
T429,77601,786,M45,Mobile,Normal
T430,72884,187,M18,Online,Normal
T431,47020,309,M36,Online,Normal
T432,71044,246,M52,Mobile,Normal
T433,104532,519,M52,Mobile,Normal
T434,153624,169,M29,Mobile,Fraudulent
T435,84891,573,M21,Mobile,Normal
T436,155339,261,M59,Mobile,Normal
T437,158996,175,M46,Mobile,Normal
T438,98036,895,M19,Online,Normal
T439,7249,206,M16,Mobile,Normal
T440,116085,545,M50,Mobile,Normal
T441,66429,979,M65,Online,Normal
T442,55857,656,M86,Mobile,Normal
T443,7656,86,M73,In-Store,Normal
T444,26941,892,M77,Mobile,Normal
T445,4727,629,M51,In-Store,Normal
T446,127,987,M96,In-Store,Normal
T447,153689,990,M11,In-Store,Normal
T448,131035,81,M41,Mobile,Normal
T449,171343,634,M37,Mobile,Normal
T450,155092,24,M57,Online,Normal
T451,134599,694,M23,Online,Normal
T452,135769,661,M36,In-Store,Normal
T453,28506,231,M18,In-Store,Normal
T454,139317,34,M28,Mobile,Normal
T455,118460,485,M34,In-Store,Normal
T456,62226,123,M98,Online,Normal
T457,1573,964,M99,In-Store,Normal
T458,52667,15,M1,Mobile,Normal
T459,25166,38,M4,Online,Normal
T460,74542,496,M62,Online,Normal
T461,34595,338,M100,In-Store,Normal
T462,151172,199,M29,Online,Normal
T463,4961,805,M100,In-Store,Normal
T464,64330,485,M55,Online,Normal
T465,137310,943,M83,Mobile,Normal
T466,40460,967,M77,Mobile,Normal
T467,20785,408,M20,Online,Normal
T468,108876,132,M18,Mobile,Normal
T469,133727,402,M54,Mobile,Normal
T470,54396,791,M44,In-Store,Normal
T471,16001,530,M70,Mobile,Normal
T472,33798,168,M52,In-Store,Normal
T473,108726,125,M77,Online,Normal
T474,70397,498,M14,Mobile,Normal
T475,145439,9,M5,In-Store,Normal
T476,150329,868,M80,Online,Fraudulent
T477,52127,757,M75,Online,Normal
T478,72991,400,M63,In-Store,Normal
T479,103071,2490,M78,In-Store,Normal
T480,15935,979,M51,In-Store,Normal
T481,128731,107,M98,In-Store,Normal
T482,58888,973,M49,In-Store,Normal
T483,166625,137,M86,Online,Normal
T484,33715,958,M22,Mobile,Normal
T485,170779,93,M23,Online,Normal
T486,48828,455,M70,Online,Normal
T487,122606,770,M57,Mobile,Normal
T488,136744,146,M14,Online,Normal
T489,139272,470,M90,Online,Normal
T490,148540,943,M32,Mobile,Normal
T491,60333,815,M71,Mobile,Normal
T492,77141,755,M18,In-Store,Normal
T493,121256,827,M58,In-Store,Normal
T494,131542,188,M63,Mobile,Normal
T495,40114,432,M24,In-Store,Normal
T496,136050,28,M52,In-Store,Normal
T497,74640,353,M33,In-Store,Normal
T498,29842,371,M100,Mobile,Normal
T499,153241,929,M60,Mobile,Fraudulent
T500,8434,131,M52,Mobile,Normal
T501,74541,810,M15,In-Store,Normal
T502,80926,196,M88,In-Store,Normal
T503,170885,673,M86,Online,Normal
T504,24586,176,M57,Online,Normal
T505,28658,568,M53,Online,Normal
T506,129660,963,M55,Mobile,Normal
T507,157256,762,M20,Mobile,Fraudulent
T508,15887,1783,M65,Online,Normal
T509,143295,302,M40,Online,Normal
T510,142551,856,M17,Online,Normal
T511,159276,687,M58,Online,Fraudulent
T512,18363,223,M70,In-Store,Normal
T513,64834,4091,M90,In-Store,Normal
T514,92062,254,M83,Mobile,Normal
T515,132292,656,M96,In-Store,Normal
T516,158941,233,M3,Online,Normal
T517,149179,899,M82,In-Store,Normal
T518,113753,86,M60,In-Store,Normal
T519,162089,579,M71,In-Store,Normal
T520,61740,820,M59,Online,Normal
T521,131869,316,M53,Online,Normal
T522,23751,228,M11,Mobile,Normal
T523,120919,733,M50,In-Store,Normal
T524,27087,924,M11,In-Store,Normal
T525,61336,735,M89,In-Store,Normal
T526,134885,665,M66,Online,Normal
T527,142496,966,M75,Mobile,Normal
T528,3590,56,M39,In-Store,Normal
T529,6833,879,M63,In-Store,Normal
T530,158761,959,M66,In-Store,Normal
T531,106824,955,M16,Mobile,Normal
T532,83164,349,M36,In-Store,Normal
T533,64710,286,M3,Mobile,Normal
T534,114091,13,M10,Mobile,Normal
T535,99518,795,M2,Mobile,Normal
T536,63830,3603,M50,Online,Normal
T537,148754,239,M48,Mobile,Normal
T538,157879,125,M49,Online,Normal
T539,124997,453,M65,Online,Normal
T540,167355,803,M36,In-Store,Normal
T541,152562,530,M27,Mobile,Normal
T542,92973,515,M100,Mobile,Normal
T543,156882,177,M61,Mobile,Normal
T544,104183,570,M85,Online,Normal
T545,164665,378,M79,Online,Normal
T546,76926,20,M60,In-Store,Normal
T547,110089,342,M62,Mobile,Normal
T548,166033,94,M89,Mobile,Normal
T549,161294,871,M67,In-Store,Normal
T550,98599,527,M30,Online,Normal
T551,81004,366,M27,In-Store,Normal
T552,118678,775,M40,In-Store,Normal
T553,138416,760,M42,Online,Normal
T554,35674,275,M30,Online,Normal
T555,101594,433,M43,Mobile,Normal
T556,30847,527,M65,Online,Normal
T557,24538,799,M62,Online,Normal
T558,143261,627,M23,Online,Normal
T559,153235,289,M35,Mobile,Normal
T560,47385,731,M21,Mobile,Normal
T561,100087,116,M63,Mobile,Normal
T562,166445,314,M18,In-Store,Normal
T563,94284,4890,M69,Online,Normal
T564,152067,270,M13,Mobile,Normal
T565,100787,63,M69,In-Store,Normal
T566,164818,97,M32,Online,Normal
T567,20170,88,M62,Mobile,Normal
T568,85554,122,M80,In-Store,Normal
T569,52296,72,M51,Mobile,Normal
T570,114223,566,M32,Mobile,Normal
T571,44862,818,M26,Mobile,Normal
T572,1076,410,M14,Mobile,Normal
T573,128310,804,M51,In-Store,Normal
T574,161127,97,M42,Online,Normal
T575,167900,211,M40,In-Store,Normal
T576,6794,25,M94,In-Store,Normal
T577,20065,970,M99,Online,Normal
T578,85472,461,M63,Mobile,Normal
T579,1347,477,M67,In-Store,Normal
T580,35058,24,M46,Mobile,Normal
T581,78480,810,M74,In-Store,Normal
T582,131530,468,M89,Mobile,Normal
T583,10625,416,M8,Mobile,Normal
T584,97522,320,M35,In-Store,Normal
T585,48722,299,M59,In-Store,Normal
T586,163171,146,M27,In-Store,Normal
T587,4764,424,M19,Online,Normal
T588,122572,964,M51,Mobile,Normal
T589,127723,909,M52,In-Store,Normal
T590,163391,125,M88,Online,Normal
T591,29527,462,M50,Online,Normal
T592,104794,646,M26,In-Store,Normal
T593,54747,441,M84,In-Store,Normal
T594,136722,142,M16,Online,Normal
T595,19930,90,M51,Mobile,Normal
T596,164183,427,M88,Mobile,Fraudulent
T597,83139,151,M70,Mobile,Normal
T598,126900,287,M5,Mobile,Normal
T599,57828,234,M81,In-Store,Normal
T600,167592,528,M21,Mobile,Normal
T601,37175,902,M65,Online,Normal
T602,14180,239,M16,Mobile,Normal
T603,59619,706,M100,In-Store,Normal
T604,126832,411,M79,Online,Normal
T605,120612,579,M87,Mobile,Normal
T606,66906,403,M24,Mobile,Normal
T607,39863,265,M63,In-Store,Normal
T608,88216,875,M28,In-Store,Normal
T609,133434,969,M84,Mobile,Normal
T610,163481,334,M8,In-Store,Normal
T611,98915,462,M90,Online,Normal
T612,8746,546,M37,Online,Normal
T613,17241,804,M51,Online,Normal
T614,14533,186,M40,In-Store,Normal
T615,39137,326,M76,Online,Normal
T616,171792,795,M78,Mobile,Normal
T617,144023,34,M6,Online,Normal
T618,60018,197,M34,In-Store,Normal
T619,112353,685,M63,Mobile,Normal
T620,39467,178,M36,In-Store,Normal
T621,169681,852,M76,Mobile,Normal
T622,129390,858,M78,Mobile,Normal
T623,124095,402,M90,Mobile,Normal
T624,165707,839,M32,Online,Normal
T625,47721,895,M62,In-Store,Normal
T626,71332,192,M76,Online,Normal
T627,125985,107,M3,Mobile,Normal
T628,121796,830,M87,Online,Normal
T629,15206,472,M90,Mobile,Normal
T630,1974,752,M65,Online,Normal
T631,133239,445,M19,In-Store,Normal
T632,89252,350,M19,In-Store,Normal
T633,68913,770,M52,Online,Normal
T634,106134,799,M75,Online,Normal
T635,95553,930,M52,Mobile,Normal
T636,55865,454,M79,Online,Normal
T637,90484,156,M80,Online,Normal
T638,90298,272,M94,In-Store,Normal
T639,118271,842,M6,In-Store,Normal
T640,128065,16,M20,Online,Normal
T641,65969,855,M92,Online,Normal
T642,172767,692,M74,Online,Fraudulent
T643,120244,47,M60,Online,Normal
T644,139977,735,M34,Online,Normal
T645,44314,858,M37,Online,Normal
T646,170312,30,M65,Online,Normal
T647,109159,756,M11,Online,Normal
T648,2283,458,M41,In-Store,Normal
T649,130475,27,M19,Mobile,Normal
T650,28143,116,M31,Online,Normal
T651,163444,920,M66,Online,Normal
T652,159879,738,M33,Online,Normal
T653,170838,558,M51,In-Store,Normal
T654,148440,328,M72,In-Store,Normal
T655,84680,737,M65,In-Store,Normal
T656,65930,465,M12,Online,Normal
T657,52637,147,M10,In-Store,Normal
T658,128907,697,M41,In-Store,Normal
T659,158606,483,M79,Mobile,Normal
T660,74116,736,M85,Mobile,Normal
T661,8419,582,M25,Online,Normal
T662,24348,21,M4,Online,Normal
T663,112365,2791,M80,Online,Normal
T664,76015,401,M51,Online,Normal
T665,130346,29,M47,Mobile,Normal
T666,23749,309,M73,In-Store,Normal
T667,14576,866,M77,Mobile,Normal
T668,172383,356,M17,Online,Normal
T669,146293,236,M58,In-Store,Normal
T670,116924,588,M19,Mobile,Normal
T671,21391,351,M69,Mobile,Normal
T672,84406,338,M80,Mobile,Normal
T673,126661,967,M27,In-Store,Normal
T674,10327,654,M28,Mobile,Normal
T675,3644,185,M38,In-Store,Normal
T676,37517,815,M96,Online,Normal
T677,102068,279,M58,Online,Normal
T678,95687,346,M94,In-Store,Normal
T679,54857,302,M51,Mobile,Normal
T680,18248,746,M5,In-Store,Normal
T681,157097,741,M65,Online,Fraudulent
T682,171988,150,M26,In-Store,Normal
T683,111368,43,M93,In-Store,Normal
T684,144292,401,M40,Mobile,Normal
T685,30335,387,M51,In-Store,Normal
T686,81889,904,M75,Online,Normal
T687,117878,544,M38,Mobile,Normal
T688,10933,421,M68,In-Store,Normal
T689,126635,753,M11,Mobile,Normal
T690,153078,128,M34,In-Store,Normal
T691,3695,804,M53,Mobile,Normal
T692,100147,123,M46,Online,Normal
T693,142736,45,M23,In-Store,Normal
T694,82700,303,M18,Online,Normal
T695,83890,968,M79,Online,Normal
T696,5594,143,M89,Mobile,Normal
T697,73583,218,M15,In-Store,Normal
T698,164062,824,M96,Online,Normal
T699,151000,278,M67,Mobile,Fraudulent
T700,141711,696,M31,In-Store,Normal
T701,156736,319,M3,Mobile,Normal
T702,71688,406,M43,In-Store,Normal
T703,155966,501,M19,Mobile,Normal
T704,57446,858,M44,Online,Normal
T705,6015,177,M79,Online,Normal
T706,156968,396,M67,Online,Normal
T707,150194,481,M8,Mobile,Normal
T708,136546,937,M77,In-Store,Normal
T709,79670,971,M28,In-Store,Normal
T710,69205,609,M96,Online,Normal
T711,123210,909,M56,In-Store,Normal
T712,3175,741,M26,Mobile,Normal
T713,67046,409,M93,Mobile,Normal
T714,122227,488,M38,Mobile,Normal
T715,96439,156,M87,Online,Normal
T716,162872,644,M68,Mobile,Normal
T717,28335,917,M12,Mobile,Normal
T718,6825,362,M39,Online,Normal
